turn,dir,distance,descr1,descr2
1,Right,0.9,Right hand sweeper into long,straight
,,2.2,Rough spot.,
2,Left,3.3,Left hand sweeper into very long ,straight
,,7.7,Six Shooter Draw bridge,
3,Right,8.2,Slight bend to the right,
,,8.4,Bridge (culvert),
,,10.3,Rough in left lane,
,,10.5,Blind hill - straight,
4,Left,12,"up hill - thru cut, down to short",straight - four lanes wide
5,Right,12.8,"Right hand corner, down hill",Three lanes back to two
,,13.1,Bridge.  Gas plant on left.,
6,Left,14.6,Left hand sweeper - then uphill,three lanes wide
7,Right,15.1,Blind over crest into downhill,straight. Narrows to two lanes
8,Right,16.2,Right hand bend to very short ,straight
9,Right,16.6,Right hand bend,
10,Left,17.6,Left hand turn uphill into short,straight
11,Left,17.9,Blind left over hill. Immediate,into next turn. May need to slow
12,Right,18.2,Right hand turn downhill into ,very short straight -- CAUTION
13,Right,18.5,Right hand bend - downhill,
14,Left,19,Left hand corner downhill into,blind exit -- SLOW 90MPH
15,Left,19.8,Left hand bend - downhill,Bunger Cameron Ranch on left
,,20.9,Nineteen Draw Bridge with a blind,rise. Rough surface on bridge.
16,Right,22,Slight right hand bend into very,short straight.
17,Right,22.3,"slight uphill, Monument Draw ","Bridge at start, rough on bridge"
18,Left,23.3,Slight left hand bend - Mitchell ,Road on left
,,24.7,Marsh Lea Ranch on left,Windmill on right
19,Right,25.6,Right hand corner - slight ,upgrade
,,25.9,Blind uphill into straightaway,Tower on left
,,27.2,Cerf Ranch on left,
20,Right,27.7,Blind right hand sweeper over ,crest - long
21,Left,29.3,sweeper with elevation changes,Escondido Draw Bridge 3/4 thru
,,30.6,Blind crest in straight elevator,ride! Look ahead.
,,31.7,Blind crest in straight - very,quick to next turn
22,Left,32,"corner thru cut, blind exit down",hill to short straight
23,Left,32.4,Left hand bend downhill. Quick,to next turn. Narrows to 2 lanes
24,Right,32.7,Right hand bend - immediate into,next turn
25,Left,33,Left hand turn with blind exit, with slight rise into straight
26,Right,35.6,Right hand bend into very short,straight
27,Left,36,Left hand sweeper with blind exit,
,,36.6,Big Canyon Bridge,Rough bridge surface
28,Right,37,Right hand turn.  Immediately,into next turn
29,Right,37.2,Right hand turn with blind exit,
30,Left,38.2,Very slight left bend,
31,Right,38.8,Right hand turn downhill with ,blind exit - to short straight
32,Right,39.4,Right hand bend to short straight,
,,39.8,Middle Fork Bridge,Rough bridge surface
33,Left,40,Left hand turn to short straight,
,,40.6,Sign - Sanderson 20 miles on ,right
34,Right,41.1,Long right hand corner with ,uphill rise. May need to slow
35,Left,42.4,Left hand turn - slight down hill,SLOW
,,42.8,Clark Place Draw Bridge,rough bridge surface
,,43,        !!WARNING!!,Approaching Quick Blind Corners
36,Left,43.8,"Long left, uphill into very short",straight. Three lanes wide.
37,Right,44.2,Right hand corner through cut,Four lanes.  Into left turn
38,Left,44.4,"Blind left hand corner downhill, ",long
39,Left,45,Slight left hand bend into long,right.  Back to two lanes.
40,Right,45.2,Very long corner through cut into,short straigh.  Watch speed.
,,45.6,FM 2400 Junction on left,
41,Left,45.8,Left hand turn uphill and over,into slight right.  Four lanes.
42,Right,46,Slight right into short downhill ,straight.  Three lanes.
43,Right,46.4,Right hand corner into short ,straight
44,Left,47.1,Long left. Three lanes at ,"entrance, narrows to two in turn"
,,48,Ranch house on right,Left lane rough
45,Left,48.7,Slight left hand bend,Left lane rough
46,Right,49.4,Blind right downhill into long straight,straight.  Look up.
,,49.9,Terrell County Sign,pavement changes
,,50.1,Downie Draw Bridge,Rough bridge surface
,,50.8,Sign - Sanderson 10 miles,
47,Left,51.4,"Left uphill, very late apex to ","exit, into very short straight"
,,51.5,Race photographer at top of,hill
48,Left,51.8,Left sweeper through cut downhill,almost joins next turn
49,Left,52.2,Left into very short straight,"Three lanes, tighter than last"
50,Right,52.5,"Right hand corner downhill, blind","exit, into long left"
51,Left,52.7,Long left hand corner still ,"downhill, two lanes at exit into"
52,Right,53.2,Right hand corner into short ,straight
53,Left,53.7,Left hand corner,
54,Right,54.2,Right hand bend,
55,Right,54.9,Slight right hand bend into very ,short straight
,,55,Last chance to correct time,
56,Left,55.3,Left hand turn into short ,straight
57,Right,55.9,Long right hand corner,
,,56.5,Bridge,rough surface
58,Right,57.4,Right hand turn - bridge just,past exit - into immediate right
59,Right,57.7,Right hand corner. CAUTION slower,than previous turn.
60,Left,58.2,Left hand sweeper - then head to ,finish line
,,59,FINISH LINE,
